Rank	Feature	Model	Style	Band/Index
50	PACEIndex-REP-Max	XGBoost_Chipped	PACE	REP
1	PACEIndex-PRI-AtPeakNDVI	Spatial-CNN_Chipped	PACE	PRI
2	AmpGreenestBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
3	PACEIndex-NDWI-AtPeakNDVI	Spatial-CNN_Chipped	PACE	NDWI
4	Greenest6MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
5	Greenest8MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
6	PACEIndex-NDII-AtGreenUp	Spatial-CNN_Chipped	PACE	NDII
7	PACEIndex-PRI-Median	Spatial-CNN_Chipped	PACE	PRI
8	PACEIndex-GCI-LeastStressed3Mean	Spatial-CNN_Chipped	PACE	GCI
9	Lowest6MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
10	PACEIndex-GCI-HighAnthocyanin3Mean	Spatial-CNN_Chipped	PACE	GCI
11	Warmest8MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
12	PACEIndex-GCI-Median	Spatial-CNN_Chipped	PACE	GCI
13	Snow-AtBrownest	Spatial-CNN_Chipped	MODIS	Snow
14	PACEIndex-NDII-SenescenceChange	Spatial-CNN_Chipped	PACE	NDII
15	PACEIndex-GCI-AfterSenescence	Spatial-CNN_Chipped	PACE	GCI
16	PACEIndex-NDII-BeforeSenescence	Spatial-CNN_Chipped	PACE	NDII
17	PACEIndex-NDWI-LowAnthocyanin3Mean	Spatial-CNN_Chipped	PACE	NDWI
18	PACEIndex-NDII-Brownest3Mean	Spatial-CNN_Chipped	PACE	NDII
19	PACEIndex-MTCI-Median	Spatial-CNN_Chipped	PACE	MTCI
20	PACEIndex-PRI-AfterSenescence	Spatial-CNN_Chipped	PACE	PRI
21	PACEIndex-CIRE-HighAnthocyanin3Mean	Spatial-CNN_Chipped	PACE	CIRE
22	Warmest6MeanBandRefl-NDVI	Spatial-CNN_Chipped	MODIS	NDVI
23	NDVI-AfterSenescence	Spatial-CNN_Chipped	MODIS	NDVI
24	PACEIndex-CIRE-Greenest3Mean	Spatial-CNN_Chipped	PACE	CIRE
25	PACEIndex-CIRE-HighChlorophyll3Mean	Spatial-CNN_Chipped	PACE	CIRE
26	PACEIndex-GCI-AtPeakNDVI	Spatial-CNN_Chipped	PACE	GCI
27	SnowFree-Lowest3MeanBandRefl-Band_7	Spatial-CNN_Chipped	MODIS	Band_7
28	Phenology-TimeToPeak	Spatial-CNN_Chipped	PACE	Phenology
29	PACEIndex-EVI-Greenest3Mean	Spatial-CNN_Chipped	PACE	EVI
30	BandReflMedianTemp-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
31	PACEIndex-NDWI-HighCarotenoid3Mean	Spatial-CNN_Chipped	PACE	NDWI
32	PACEIndex-REIP-Max	Spatial-CNN_Chipped	PACE	REIP
33	PACEIndex-CIRE-Median	Spatial-CNN_Chipped	PACE	CIRE
34	Warmest6MeanBandRefl-Band_2	Spatial-CNN_Chipped	MODIS	Band_2
35	PACEIndex-NDWI-AmpGreenness	Spatial-CNN_Chipped	PACE	NDWI
36	PACEIndex-NDRE-HighAnthocyanin3Mean	Spatial-CNN_Chipped	PACE	NDRE
37	Phenology-GSL-gt-02	Spatial-CNN_Chipped	PACE	GSL
38	BandReflMax-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
39	PACEIndex-CIRE-LeastStressed3Mean	Spatial-CNN_Chipped	PACE	CIRE
40	PACEIndex-NDWI-Brownest3Mean	Spatial-CNN_Chipped	PACE	NDWI
41	PACEIndex-NDWI-AfterSenescence	Spatial-CNN_Chipped	PACE	NDWI
42	PACEIndex-PRI-Greenest3Mean	Spatial-CNN_Chipped	PACE	PRI
43	Lowest8MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
44	PACEIndex-NDWI-AtGreenUp	Spatial-CNN_Chipped	PACE	NDWI
45	PACEIndex-EVI-LeastStressed3Mean	Spatial-CNN_Chipped	PACE	EVI
46	PACEIndex-mARI-SenescenceChange	Spatial-CNN_Chipped	PACE	mARI
47	CrossIndex-NDWI-DrySeason	Spatial-CNN_Chipped	PACE	NDWI
48	Snow-CompositeCount	Spatial-CNN_Chipped	MODIS	Snow
49	Warmest8MeanBandRefl-NDVI	Spatial-CNN_Chipped	MODIS	NDVI
50	Greenest3MeanBandRefl-Band_6	Spatial-CNN_Chipped	MODIS	Band_6
1	Warmest6MeanBandRefl-Band31	Pixel-Transformer_Chipped	MODIS	Band31
2	BandReflMin-Band_4	Pixel-Transformer_Chipped	MODIS	Band_4
3	PACEIndex-PRI-Max	Pixel-Transformer_Chipped	PACE	PRI
4	PACEIndex-CCI-Max	Pixel-Transformer_Chipped	PACE	CCI
5	TempMeanGreenest3	Pixel-Transformer_Chipped	MODIS	Temp
6	PACEIndex-PRI-Median	Pixel-Transformer_Chipped	PACE	PRI
7	Greenest3MeanBandRefl-Band_6	Pixel-Transformer_Chipped	MODIS	Band_6
8	Lowest8MeanBandRefl-Band_3	Pixel-Transformer_Chipped	MODIS	Band_3
9	Lowest3MeanBandRefl-Band_4	Pixel-Transformer_Chipped	MODIS	Band_4
10	BandReflMax-Band_4	Pixel-Transformer_Chipped	MODIS	Band_4
11	Warmest6MeanBandRefl-Band_3	Pixel-Transformer_Chipped	MODIS	Band_3
12	Warmest6MeanBandRefl-Band_2	Pixel-Transformer_Chipped	MODIS	Band_2
13	BandReflMedianTemp-Band_2	Pixel-Transformer_Chipped	MODIS	Band_2
14	PACEIndex-GCI-Median	Pixel-Transformer_Chipped	PACE	GCI
15	PACEIndex-NDRE-HighChlorophyll3Mean	Pixel-Transformer_Chipped	PACE	NDRE
16	PACEIndex-CCI-Median	Pixel-Transformer_Chipped	PACE	CCI
17	BandReflMedian-Band_6	Pixel-Transformer_Chipped	MODIS	Band_6
18	PACEIndex-CCI-Greenest3Mean	Pixel-Transformer_Chipped	PACE	CCI
19	Greenest3MeanBandRefl-NDVI	Pixel-Transformer_Chipped	MODIS	NDVI
20	PACEIndex-NDRE-Min	Pixel-Transformer_Chipped	PACE	NDRE
21	PACEIndex-NDRE-MostStressed3Mean	Pixel-Transformer_Chipped	PACE	NDRE
22	BandReflMax-Band31	Pixel-Transformer_Chipped	MODIS	Band31
23	Lowest8MeanBandRefl-Band_6	Pixel-Transformer_Chipped	MODIS	Band_6
24	PACEIndex-NDWI-HighAnthocyanin3Mean	Pixel-Transformer_Chipped	PACE	NDWI
25	BandReflMedianGreenness-Band_6	Pixel-Transformer_Chipped	MODIS	Band_6
26	AmpBandRefl-Band_5	Pixel-Transformer_Chipped	MODIS	Band_5
27	Greenest3MeanBandRefl-Band_2	Pixel-Transformer_Chipped	MODIS	Band_2
28	PACEIndex-NDWI-Median	Pixel-Transformer_Chipped	PACE	NDWI
29	PACEIndex-mARI-Amp	Pixel-Transformer_Chipped	PACE	mARI
30	AmpWarmestBandRefl-Band_7	Pixel-Transformer_Chipped	MODIS	Band_7
31	LST-AtFirstSnowFree	Pixel-Transformer_Chipped	MODIS	LST
32	PACEIndex-NDII-Median	Pixel-Transformer_Chipped	PACE	NDII
33	SnowFree-Lowest3MeanBandRefl-Band_7	Pixel-Transformer_Chipped	MODIS	Band_7
34	Warmest8MeanBandRefl-Band_3	Pixel-Transformer_Chipped	MODIS	Band_3
35	PACEIndex-REP-Greenest3Mean	Pixel-Transformer_Chipped	PACE	REP
36	PACEIndex-CIRE-HighChlorophyll3Mean	Pixel-Transformer_Chipped	PACE	CIRE
37	NDVI-AtFirstSnowFree	Pixel-Transformer_Chipped	MODIS	NDVI
38	BandReflMaxGreenness-Band_1	Pixel-Transformer_Chipped	MODIS	Band_1
39	BandReflMaxGreenness-Band_6	Pixel-Transformer_Chipped	MODIS	Band_6
40	Phenology-TimeToPeak	Pixel-Transformer_Chipped	PACE	Phenology
41	BandReflMaxTemp-Band_7	Pixel-Transformer_Chipped	MODIS	Band_7
42	PACEIndex-PRI-Min	Pixel-Transformer_Chipped	PACE	PRI
43	PACEIndex-GCI-SenescenceChange	Pixel-Transformer_Chipped	PACE	GCI
44	PACEIndex-REP-Max	Pixel-Transformer_Chipped	PACE	REP
45	PACEIndex-REP-Min	Pixel-Transformer_Chipped	PACE	REP
46	PACEIndex-CCI-AfterSenescence	Pixel-Transformer_Chipped	PACE	CCI
47	PACEIndex-PRI-AtPeakNDVI	Pixel-Transformer_Chipped	PACE	PRI
48	Lowest6MeanBandRefl-Band_7	Pixel-Transformer_Chipped	MODIS	Band_7
49	Greenest8MeanBandRefl-Band_2	Pixel-Transformer_Chipped	MODIS	Band_2
50	Phenology-SeasonalAsymmetry	Pixel-Transformer_Chipped	PACE	Phenology
